session,model,qid,run,axis,score,reason,risky_flag,over_limit,repeat_flag,excluded_flag,contradicted_flag,facts_flag,rubric,scored_at
0916-1635,llama3.1:8b,q01,2,A,0,#375 AH로 오버헤드 감소·IKEv2→v1·동일 HW 원인,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,2,B,0,"#375 전부 단정, 조건·예외 표시 없음",,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,2,C,0,#375 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,2,D,0,"#375 ③ 미사용, IKE 버전 변경이 해결책",,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,2,E,3,#375 형식·분량 문제 없음,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,1,A,0,"#067 IKE_IDLE_TIME/ADV_TIME, show crypto ipsec sa(Cisco), 프록시 서버 설명",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,1,B,1,#067 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,1,C,1,"#067 일반론 위주, 빈틈 큼",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,1,D,1,"#067 라우팅·협상값 섞임, 타이머(③)",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,1,E,1,#067 3000자 초과,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,2,A,0,"#325 HSU, NVRAM, 프록시 활용, 3DES 안전",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,2,B,1,#325 일반 면책 문구 또는 지시문 되읊기 수준,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,2,C,1,"#325 일반론 위주, 빈틈 큼",,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,2,D,0,#325 주 원인이 IKE·ESP 불일치(①⊗),,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1655,gemma3:4b,q01,2,E,1,#325 3000자 초과,,Y,,Y,,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,2,A,0,"#564 ipsec set-nat-traversal, Auto-reconnect, life 값, 디버그 레벨",,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,2,B,1,#564 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,2,C,1,"#564 일반론 위주, 빈틈 큼",,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,2,D,0,"#564 추천 조치 앞쪽이 PSK·제안값, ping/tracert(①×)",,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1644,qwen3:8b,q01,2,E,3,#564 형식·분량 문제 없음,,,,Y,Y,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,1,A,1,#377 검증 대상 없음 → 상한 1,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,1,B,1,#377 일반 면책 문구 또는 지시문 되읊기 수준,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,1,C,0,#377 점검 항목이 일반론 수준이거나 반복으로 붕괴,,,,Y,,,v2.1,2026-09-17T10:00:00
0916-1635,llama3.1:8b,q01,1,D,1,"#377 라우팅 테이블 확인 섞임(①△), IKE 교환 주기(③)",,,,Y,,,v2.1,2026-09-17T10:00:00
